language,number_occurrences,translations_freq
sld,18,{'$diíwi': 17}
slk,135,"{'$vtá': 81, '$lietajú': 49}"
sll,18,{'$hahoba$': 17}
slv,135,"{'$pti': 107, '$letajo$': 14}"
sme,18,{'$lotti': 18}
smk,17,{'manuk-ma': 17}
sml,18,{'manuk-ma': 18}
smo,135,"{'$manufel': 73, 'manulele': 57}"
sna,135,"{'shiri$': 81, 'inobhuru': 49}"
snc,18,{'$manu': 18}
snd,18,{'$پکي': 17}
snn,18,"{""$ca$hua'"": 12, ""$bi'an$"": 6}"
snp,18,"{'$nema-af': 7, '$nema$ya': 6, 'nema$kos': 4}"
snw,18,{'akansiɛ$': 18}
sny,18,"{'irowe$we': 7, '$irowe$l': 4, 'rowe$tam': 4, '$awiye$': 2}"
som,135,"{'$haad': 85, '$shimbir': 44}"
soq,42,{'$nene$': 41}
sot,135,"{'nonyana$': 81, 'se$fofan': 49}"
soy,18,{'núipi$': 18}
spa,135,"{'$volador': 50, '$pájaro': 38, '$aves$': 31}"
spl,18,{'$nâi': 16}
spp,18,"{'$saɲcyɛ': 15, '$saɲcɛɛn': 3}"
sps,28,"{'$an$mare': 14, 'ruaf$': 6, 'ai$tsuar': 2, 'fo$koraa': 2}"
spy,18,{'$tāriitē': 16}
sqi,18,"{'$zogjtë$': 10, '$shpend': 7}"
sri,18,"{'$mirã': 12, '$wú̶rã': 5}"
srm,18,{'fou$': 18}
srn,135,"{'$fowru$': 99, 'i$e$frei': 30}"
srp,135,"{'$pti': 109, 'a$lete': 21}"
srq,18,"{'$nguireĩ': 4, '$ae$mbeb': 4, 'uireɨ̃$n': 4, '$nguɨreɨ': 3}"
ssd,45,{'$sar$uma': 43}
ssg,18,{'$manixux': 18}
ssw,18,{'tinyoni$': 18}
ssx,42,"{'$bamanu$': 19, '$ba$': 20}"
stn,18,"{'$manu$': 15, '$maanu$k': 2}"
stp,18,"{""$u'ji'"": 15, ""gu$u'ii'"": 2}"
sua,18,{'$o$ining': 16}
sue,18,"{'ni$mamai': 15, 're$zire$': 2}"
suk,18,{'$noni$': 18}
sun,135,{'$manuk': 127}
sur,18,{'$ny`er$': 18}
sus,18,{'$xɔni': 18}
swe,135,"{'fåg': 70, 'ygande$s': 62}"
swg,18,{'$vegel$': 18}
swh,135,"{'$ndege$': 82, 'oruka$': 49}"
swk,18,{'$mbalame': 18}
swp,50,{'$manu': 49}
sxb,18,{'$enyonyi': 18}
sxn,18,"{'$manụ$u$': 15, '$manụ$e$': 2}"
syc,18,{'ܦܪܚܬܐ$': 16}
szb,18,{'$nal': 17}
tab,18,"{'$жакьвар': 11, '$ничхрар': 7}"
tac,18,"{'$chulug': 12, '$wilú$': 3, '$jami$oy': 2}"
taj,18,{'$चरा': 18}
tam,18,{'$paravai': 18}
taq,18,{'igḍ': 17}
tar,18,"{'$chulugu': 10, ""i'nika$'"": 4, 'churuguí': 2}"
tat,18,{'$кошлар': 18}
tav,18,"{'$minia': 11, '$cawʉrã$': 4, '$yucaa': 3}"
taw,18,"{'$yawl$ok': 12, '$sab$cha': 4}"
tbc,18,"{'$anakana': 15, '$ai$tina': 2}"
tbg,82,{'$uviri': 76}
tbl,18,{'$onuk$ko': 17}
tbo,18,{'$kiu$': 18}
tby,18,{'$namoro$': 18}
tbz,135,"{'nɔ̀t': 63, 'sinɔɔ$': 45, 'pɑsĩ̀ntì': 4, 'nɛ̀$tiwɑ': 2, 'inɔ': 4}"
tca,18,{'$werigü': 16}
tcc,18,{'$dariid': 18}
tcs,42,{'pizin$': 40}
tcz,66,"{'$vacha': 51, 'u$le$va$': 5, 'namkim$': 2}"
tdt,18,"{'$manu$si': 15, '$ba$manu': 2}"
tee,18,{'$tsʼokʼo': 18}
tel,135,"{'$పక్షుల': 89, '$పక్షి': 34}"
tem,18,{'bȧmp': 18}
teo,18,"{'$akweny$': 14, 'a$ikweny': 3}"
ter,18,{'$ôti$': 18}
tfr,18,{'$sënwa': 18}
tgk,18,"{'$мурғ': 13, '$парранд': 4}"
tgl,135,"{'$ibon': 81, 'pad$na$n': 49}"
tgp,18,{'$maji$av': 18}
tha,18,{'นก$': 18}
thk,18,{'$nyoni$': 17}
tih,18,{'$susuit$': 16}
tik,18,{'$mɛ̀$kyè': 16}
tim,18,{'$lâut': 18}
tir,18,{'ኣዕዋፍ': 17}
tku,18,"{""$spūnī'n"": 18}"
tlb,18,{'$o$total': 18}
tlf,18,"{'$nuuk$': 6, '$uun$': 12}"
tlh,135,"{'$bird': 90, '$toq$': 36}"
tna,18,"{""$d'ia$"": 15, 'i$cuabet': 3}"
tnn,18,"{'mənɨg$mɨ': 13, 'megəh$pɨ': 2, 'ɨs$mɨn$k': 2}"
tob,135,"{'ỹopi$': 80, '$qoỹo$': 27, '$maỹo$': 12}"
toc,18,"{'tu̠$tako': 9, '$xma̠sek': 4, 'uaqui̠ko': 3}"
toh,18,{'$sinyoni': 18}
toj,18,"{'$yalchan': 13, 'huax$juj': 3}"
too,18,"{""$spūnnu'"": 16}"
top,18,{'$spitu$': 16}
tos,18,"{'$spu̱n$': 14, 'tu̱$kosk': 3}"
tpa,2,{'$kiu$h': 2}
tpi,18,{'$ol$pisi': 18}
tpm,135,"{'$zimeb': 102, 'ha$sel': 5, '$ki$nyin': 5, '$sela$': 5}"
tpp,18,"{""n$ts'o'o"": 13, ""$tala'pa"": 3}"
tpt,18,{'tsʼoʼon$': 18}
tpz,18,{'o$növan$': 16}
tqb,135,{'$wiràmir': 117}
trc,18,"{'$xtâj$': 14, 'achrúú$d': 3}"
trn,18,{'$coyr': 18}
trq,18,{'$xataj$': 18}
tsn,18,{'nonyane$': 18}
tso,131,"{'nyenyana': 77, 'i$hahaka': 49}"
tsz,18,"{'$káratic': 9, '$kuíni': 8}"
ttc,18,"{""$pich'$"": 18}"
tte,18,"{'o$man$': 14, 'sievaeva': 3}"
ttq,23,{'g̣əd': 23}
tuc,18,"{'$man$t': 14, '$man$': 4}"
tue,18,"{'inipõná$': 12, '$wʉʉrá': 5}"
tuf,18,"{'t$chicha': 5, 'ectar$ji': 4, 'uwásirat': 4, 'ctari$': 2}"
tui,135,"{'$dweere': 91, '$weedwee': 31}"
tuk,135,"{'$guşlar': 92, '$guş$': 19, '$guşy$': 7}"
tum,18,{'yuni$': 18}
tuo,18,{'$mirĩcʉ̃': 18}
tur,135,"{'$kuşla': 72, '$kuş$': 28, 'natlılar': 19}"
twi,135,"{'nomaa': 104, '$ntuboa$': 21}"
twu,18,{'pui': 18}
txu,18,"{'$kwênh': 11, '$àk$': 6}"
tyv,135,{'$куш': 121}
tzh,18,{'$muteti': 18}
tzj,18,"{""$tz'quin"": 12, 'querupin': 3, 'aj$ckan$': 2}"
tzo,18,{'$mut': 18}
ubr,42,{'$kiwiu$': 41}
ubu,18,"{'$kerama': 14, 'gi$lopa$': 2}"
udu,18,{'$’dii$': 17}
uig,42,"{'$учар': 27, '$қушлар': 12}"
ukr,135,{'$пт': 133}
upv,18,{'$numön$': 18}
ura,18,{'$tajaae': 17}
urb,18,"{""$ma'ewyr"": 18}"
urd,18,{'$परिन्द': 18}
urk,18,{'$บูโรก$': 18}
usa,20,"{'$numa': 15, 'kátí$yúg': 2}"
usp,18,"{'ak$tzˈiq': 13, '$ri$tiru': 2, 'l$tzˈiqu': 2}"
uvl,18,{'$ngie$mu': 17}
uzb,18,{'$қушлар': 18}
vag,18,{'$zumbizi': 17}
ven,18,{'iṋoni$': 18}
vie,18,{'$chim$': 18}
viv,18,{'$manuga$': 16}
vmy,18,{'$tjiuni': 18}
vun,18,{'ileye$': 18}
vut,18,{'$gààì$': 16}
waj,18,"{'giaammai': 14, 'aasukuai': 3}"
wal,135,{'$kaf': 127}
wap,18,{'$kotuꞌuz': 18}
war,18,{'tamsi': 18}
way,18,"{'$tëpëlam': 12, '$tolopï': 6}"
wbm,135,{'$sim$': 128}
wbp,43,"{'$jurlpu': 35, 'uwarr-ki': 3}"
wca,18,"{'$pö$kat': 14, 'alo$pö$o': 4}"
wed,2,{'$ma$kiu$': 2}
wer,18,"{'$intörö': 12, 'ö$ke$nam': 3, 're$int': 2}"
whk,18,{'$sui$': 18}
wiu,18,{'$ini': 18}
wmw,18,{'nyuni$': 17}
wnc,30,"{'$kwait': 17, '$kwaiu$': 11}"
wnu,18,{'$morogan': 17}
wob,18,{'$nʋʋɩ$': 17}
wol,18,{'$picc': 18}
wos,17,{'$afwi': 17}
wrs,42,{'tuaw': 38}
wsk,58,{'$inangan': 51}
wuv,18,{'i$manufi': 16}
wwa,18,"{'$nɔnɔɔsu': 13, 'aasu$naa': 3}"
xal,18,{'$шовуд': 17}
xav,18,"{'$si$norĩ': 9, 'mhã$sire': 3, ""$di'i$na"": 3}"
xbi,11,"{'ti$aipm$': 5, '$aipm$': 5}"
xbr,17,{'ma-hawur': 16}
xed,18,"{'$ɗyakha$': 9, '$zarak': 8}"
xho,135,"{'ntaka$': 79, 'phazelay': 49}"
xla,42,{'$tea': 38}
xon,18,{'$inyoon$': 16}
xrb,18,"{'$kãnsyãm': 15, '$trɛresy': 2}"
xsi,30,{'$sii$': 29}
xsm,18,{'$zunə$': 18}
xsu,18,"{'$pö$katä': 14, 'alo$pö$o': 4}"
xtd,18,"{'$chilida': 10, '$ndava$': 7}"
xtm,18,{'$lasaa$': 15}
xuo,18,{'$nduy': 18}
yaa,18,"{'$peyaf': 14, 'shpifo$a': 2}"
yad,18,"{'$nipya̱t': 15, '$viiche': 3}"
yal,18,"{'$xɔline$': 14, '$xɔliin$': 2}"
yam,18,{'$swiŋ$': 17}
yan,135,"{'awani$ba': 37, '$uhu$b': 30, 'lawani$': 25, '$uhbin': 10, '$uhu$': 5, 'akasna$k': 6}"
yaq,18,"{'$wikitch': 14, 'ikichim$': 2}"
yby,18,"{'$namasi': 5, 'aha-nama': 6, 'namahena': 4, 'to$namay': 2}"
ycn,18,"{""ira'ap"": 14, 'uphéruna': 2}"
yle,18,"{'$ńm': 14, '$kwee$nt': 3}"
yli,18,"{'l$ke$lar': 9, '$suwe$wa': 3, '$""$olome': 2, 'suwe$men': 2}"
yml,18,{'$manuga$': 17}
yon,54,"{'$ayari$': 41, '$onbed$': 3, '$on$': 4}"
yor,135,"{'tí$ń$fò$': 55, '$ẹyẹ$': 59, '$ẹ̀dá$ab': 18}"
yrb,18,{'$gasira': 18}
yre,18,"{'$""lomann': 16}"
yrk,6,{'$сармик”': 5}
yss,18,"{'$ap$em': 15, '$ap$': 3}"
yua,18,{'$chʼíich': 18}
yuj,18,"{'$anta': 7, '$ant$fák': 5, '$sipar$': 3, '$ant$': 3}"
yut,30,{'$mɨnam$': 27}
yuw,18,"{'$yuph': 9, '$yup$y': 4, 'arap$gor': 2, '$yup$': 3}"
yuz,18,"{'$sirimñu': 10, 'ihuëshëj': 7}"
yva,18,"{'insanije': 11, 'maere$ko': 5}"
zaa,18,"{'bìnni$to': 11, ""iyé'ya$b"": 2, 'a$bechèt': 2, 'i$ca$bé': 2}"
zab,18,"{'$de$mani': 13, 'de$many$': 5}"
zac,18,"{'$ra$maʼñ': 14, 'tapë$guë': 3}"
zad,18,"{'$byiṉ': 9, 'a$chx̱ob': 4, ""$baka'$z"": 2}"
zae,18,"{'$sia$xxi': 12, 'a$binnih': 4}"
zai,18,{'$mani$hu': 17}
zam,18,{'$mbin$': 17}
zao,18,"{'$re$min$': 14, '$thap$ni': 3}"
zar,18,"{'biguínni': 12, ""'daba'$l"": 4}"
zas,18,"{'biguijn$': 10, '$rzuj$': 7}"
zat,18,"{'$zua$xri': 7, '$bxínned': 9}"
zav,18,"{""$x̱ile'e"": 15, ""$šod$ca'"": 2}"
zaw,18,"{'ni$rutaj': 10, '$reman$x': 5, 'hi$rajwr': 2}"
zca,18,"{'$miyin': 14, 'n$nizë$n': 3}"
zho,135,"{'鳥': 92, '$飛禽$': 41}"
zia,18,"{'$ni$mama': 15, 're$yire$': 2}"
ziw,18,{'adege$': 18}
zom,135,{'vasa': 129}
zos,18,{'$paloma': 18}
zpc,18,"{'$bguini$': 13, 'ia$rzë$l': 3}"
zpi,18,"{'ne$rzhob': 11, '$mgyin$': 6}"
zpl,18,"{'bee$iñi': 15, 'u$tacu$c': 3}"
zpm,18,"{'rë$mguiṉ': 10, '$ne$rsii': 5, 'ëse$maxi': 2}"
zpo,18,{'$mbyin$': 17}
zpq,18,"{'a$x̱il$': 14, ""ba'$ḻo$x"": 2}"
zpt,18,"{'$be$migi': 12, 'be$man$d': 4}"
zpu,18,"{'dá$rao$l': 6, '$tap$nia': 5, ""$na'$byi"": 2, '$chod$': 2}"
zpv,18,"{""$maani'h"": 11, 'ohba$xih': 7}"
zpz,18,{'$chigyiñ': 18}
zsm,18,{'$burung': 18}
zsr,18,"{""'$bguin"": 12, ""'$zoa$xi"": 4}"
ztq,18,"{'$mguiñ': 14, 'lo$ma$ni': 3}"
zty,18,"{'$byínned': 10, ""íngakba'"": 4, '$byinne$': 2}"
zul,135,"{'nyoni': 82, 'indizayo': 48}"
zyp,18,{'$pavaw$': 18}
